user_id,kac,count_initial_scan_subscriptions,days,rollup_count,unsubscribe_count,inbox_count,fresh_count,unknown_count,domains_gmail,domains_others,signup_origin_Web App,signup_origin_iPhone,Mean_Pred_days,Med_Pred_days
2404227,0,398,587,0.0,63.0,51.0,284.0,0.0,1.0,0.0,1.0,0.0,233.191666004,233.191666004
2389281,0,188,66,77.0,43.0,65.0,3.0,0.0,1.0,0.0,1.0,0.0,236.032845738,236.032845738
690187,0,719,1000,0.0,109.0,108.0,502.0,0.0,1.0,0.0,1.0,0.0,269.211609815,269.211609815
4111868,0,38,224,3.0,17.0,11.0,7.0,0.0,1.0,0.0,0.0,1.0,223.660728792,223.660728792
3222910,0,895,334,0.0,287.0,307.0,301.0,0.0,1.0,0.0,1.0,0.0,363.975594745,363.975594745
5119694,0,176,68,0.0,82.0,66.0,28.0,0.0,1.0,0.0,1.0,0.0,225.992926696,225.992926696
3085946,0,587,239,142.0,237.0,94.0,114.0,0.0,1.0,0.0,1.0,0.0,352.788735242,352.788735242
3853514,0,696,159,6.0,409.0,96.0,185.0,0.0,1.0,0.0,0.0,1.0,348.804262758,348.804262758
5431421,0,109,12,23.0,55.0,2.0,29.0,0.0,1.0,0.0,1.0,0.0,218.394373504,218.394373504
2014602,0,346,517,204.0,60.0,56.0,26.0,0.0,1.0,0.0,1.0,0.0,287.624419148,287.624419148
3064472,0,480,407,2.0,246.0,220.0,12.0,0.0,1.0,0.0,1.0,0.0,301.93403499,301.93403499
1470088,0,413,778,0.0,30.0,14.0,369.0,0.0,1.0,0.0,1.0,0.0,224.552306618,224.552306618
3178343,0,21,247,0.0,7.0,3.0,11.0,0.0,1.0,0.0,1.0,0.0,200.059248595,200.059248595
485482,0,1886,962,549.0,577.0,692.0,68.0,0.0,1.0,0.0,1.0,0.0,1349.19762751,1349.19762751
1714249,0,865,610,215.0,552.0,69.0,29.0,0.0,1.0,0.0,1.0,0.0,641.668747089,641.668747089
4272108,0,786,267,249.0,437.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,564.727179298,564.727179298
3304082,0,809,353,500.0,263.0,0.0,46.0,0.0,1.0,0.0,0.0,1.0,495.51110557,495.51110557
2080232,0,1675,648,390.0,853.0,326.0,106.0,0.0,1.0,0.0,1.0,0.0,1229.15569574,1229.15569574
749800,0,311,943,5.0,233.0,2.0,71.0,0.0,1.0,0.0,1.0,0.0,269.789679345,269.789679345
1477815,0,283,780,209.0,47.0,15.0,12.0,0.0,1.0,0.0,1.0,0.0,277.631011511,277.631011511
4886247,0,220,141,0.0,187.0,1.0,32.0,0.0,1.0,0.0,1.0,0.0,249.746097484,249.746097484
4473752,0,226,127,88.0,88.0,49.0,1.0,0.0,1.0,0.0,0.0,1.0,263.498181892,263.498181892
4952918,0,248,78,91.0,71.0,85.0,1.0,0.0,1.0,0.0,1.0,0.0,251.394121735,251.394121735
3351852,0,353,340,42.0,221.0,11.0,79.0,0.0,0.0,1.0,1.0,0.0,291.142831892,291.142831892
3484537,0,188,318,0.0,8.0,19.0,161.0,0.0,1.0,0.0,0.0,1.0,227.672575981,227.672575981
4140756,0,98,189,0.0,8.0,13.0,77.0,0.0,1.0,0.0,1.0,0.0,204.20597765,204.20597765
632579,0,637,936,57.0,483.0,67.0,30.0,0.0,1.0,0.0,1.0,0.0,429.353082458,429.353082458
5237639,0,70,36,0.0,3.0,32.0,1.0,34.0,1.0,0.0,0.0,1.0,227.666245627,227.666245627
5348517,0,174,32,0.0,110.0,35.0,29.0,0.0,1.0,0.0,1.0,0.0,230.436750029,230.436750029
1679792,0,277,589,0.0,214.0,6.0,57.0,0.0,1.0,0.0,1.0,0.0,260.925471944,260.925471944
240066,0,913,1009,33.0,847.0,20.0,13.0,0.0,1.0,0.0,1.0,0.0,736.86748751,736.86748751
4330674,0,1487,176,622.0,547.0,239.0,79.0,0.0,1.0,0.0,0.0,1.0,1091.40848421,1091.40848421
5323631,0,462,15,0.0,223.0,163.0,76.0,0.0,1.0,0.0,1.0,0.0,287.961472261,287.961472261
1760742,0,456,699,34.0,396.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,350.789332207,350.789332207
2033338,0,328,524,14.0,252.0,23.0,39.0,0.0,1.0,0.0,1.0,0.0,280.840772561,280.840772561
3242215,0,472,335,0.0,241.0,182.0,49.0,0.0,1.0,0.0,1.0,0.0,295.933169732,295.933169732
4209419,0,50,64,0.0,33.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,206.143670749,206.143670749
4324292,0,146,91,0.0,51.0,52.0,43.0,0.0,0.0,0.0,1.0,0.0,594.422173227,594.422173227
3253109,0,103,390,59.0,43.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,223.512295644,223.512295644
2872539,0,481,233,1.0,286.0,31.0,163.0,0.0,1.0,0.0,1.0,0.0,300.102374286,300.102374286
4666738,0,97,74,22.0,52.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,225.798779722,225.798779722
3360222,0,198,328,12.0,72.0,35.0,79.0,0.0,0.0,0.0,1.0,0.0,661.262208673,661.262208673
1001415,0,601,865,0.0,434.0,80.0,80.0,7.0,1.0,0.0,1.0,0.0,375.640603965,375.640603965
2543526,0,188,526,19.0,111.0,9.0,49.0,0.0,1.0,0.0,1.0,0.0,234.559490985,234.559490985
4672736,0,49,171,0.0,30.0,11.0,8.0,0.0,1.0,0.0,0.0,1.0,225.717253674,225.717253674
531153,0,2575,968,418.0,2045.0,34.0,78.0,0.0,1.0,0.0,0.0,1.0,1621.00258734,1621.00258734
1202846,0,298,716,0.0,250.0,0.0,48.0,0.0,1.0,0.0,1.0,0.0,272.099098511,272.099098511
4436599,0,430,236,0.0,186.0,51.0,193.0,0.0,0.0,1.0,1.0,0.0,275.91902842,275.91902842
3090319,0,1319,407,421.0,82.0,16.0,800.0,0.0,1.0,0.0,1.0,0.0,561.930744561,561.930744561
4810164,0,129,43,0.0,63.0,0.0,66.0,0.0,1.0,0.0,1.0,0.0,215.977348295,215.977348295
1440776,0,167,660,39.0,56.0,67.0,5.0,0.0,1.0,0.0,1.0,0.0,228.809308605,228.809308605
3510646,0,100,299,1.0,64.0,20.0,15.0,0.0,1.0,0.0,0.0,1.0,234.166938349,234.166938349
3970599,0,94,146,0.0,36.0,3.0,55.0,0.0,1.0,0.0,1.0,0.0,208.955625942,208.955625942
2183014,0,487,595,0.0,358.0,97.0,32.0,0.0,1.0,0.0,1.0,0.0,331.193862702,331.193862702
4520535,0,88,134,0.0,81.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,235.75178124,235.75178124
4416110,0,103,196,0.0,39.0,20.0,44.0,0.0,1.0,0.0,1.0,0.0,210.824354792,210.824354792
3619634,0,269,177,40.0,196.0,31.0,2.0,0.0,1.0,0.0,0.0,1.0,277.32613753,277.32613753
2818240,0,361,440,134.0,218.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,312.592020652,312.592020652
